,text,sentiment,negative_reason,clean,twitter_handles,hashtags_all
558,bDonaldJTrumpJr Rikers Island is setting up a wing just for you your brother your sister and of,1,,bDonaldJTrumpJr Rikers Island setting wing brother sister,@DonaldJTrumpJr,
559,bI cannot wait to hear what Trump says at this rally about the liberal Minnesota governor violating the,0,covid19,bI wait hear Trump rally liberal Minnesota governor violating,,
560,bVote like our lives depend upon it nBidenHarris2020,1,,bVote lives depend nBidenHarris2020,,#BidenHarris2020
561,bRT sp__sampa LindseyGrahamSC endorses Biden as a good and decent  utpol idpol Georgia2020 Florida2020 ncpol,1,,bRT sp__sampa LindseyGrahamSC endorses Biden good decent utpol idpol Georgia2020 Florida2020 ncpol,@sp__sampa @LindseyGrahamSC,#AZpol #utpol #idpol #Georgia2020 #Florida2020 #ncpol
562,bRT mog7546 Someones reading our textsnnTuckerCarlson UPS and the NONSTOLEN Biden documentsnnCarlson implied LIED he was the,1,,bRT mog7546 Someones reading textsnnTuckerCarlson UPS NONSTOLEN Biden documentsnnCarlson implied LIED,@mog7546,#TuckerCarlson #UPS #Biden
563,bRT carl_cgrimes198 Democrats MSM are Lieing and trying to disenfranchise Republican voters by claiming Biden is ahead They are,1,,bRT carl_cgrimes198 Democrats MSM Lieing disenfranchise Republican voters claiming Biden ahead They,@carl_cgrimes198,#Democrats #MSM #Republican
564,b is Trump refusing to get out of the car,0,covid19,Trump refusing car,,#Trump
565,bTrump2020Landslide KamalaHarris quotes,1,,bTrump2020Landslide KamalaHarris quotes,,#Trump2020Landslide #KamalaHarris
566,bWhy Noam Chomsky is declaring Trump the worst criminal in human history n could have,0,corruption,bWhy Noam Chomsky declaring Trump worst criminal human history,,
567,bAbsolutely BidenHarrisToSaveAmerica BidenHarris2020,1,,bAbsolutely BidenHarrisToSaveAmerica BidenHarris2020,,#BidenHarrisToSaveAmerica #BidenHarris2020
568,bRT AndyOstroy realDonaldTrump You violate  break the law constantly Which is why youre under massive investigation have had your,0,covid19,bRT AndyOstroy realDonaldTrump You violate break law constantly Which massive investigation,@AndyOstroy @realDonaldTrump,
569,bthereidout if Trump was really he taken this pandemic seriously all lives should be treated,0,covid19,bthereidout Trump pandemic seriously lives treated,@thereidout,
570,bJasonMillerinDC DonaldJTrumpJr Nobody has even heard of this sadistic pervert Jason  is,0,covid19,bJasonMillerinDC DonaldJTrumpJr Nobody heard sadistic pervert Jason,@JasonMillerinDC @DonaldJTrumpJr,
571,bRT Collin_G_Wood We need to Melbournelockdown to end so we can get back to normal life and see more of this COVID19Vic COVID19,1,,bRT Collin_G_Wood We Melbournelockdown normal life COVID19Vic COVID19,@Collin_G_Wood,#Melbournelockdown #COVID19Vic #COVID19
572,bRT SkyNews Belgium hit by one of the worst coronavirus outbreaks in Europe has reimposed tight strict lockdown rules across the,0,crime,bRT SkyNews Belgium hit worst coronavirus outbreaks Europe reimposed tight strict lockdown rules,@SkyNews,#coronavirus
573,brealDonaldTrump Maybe if you ever uttered a word about a policy instead of propagating conspiracy theories you,0,crime,brealDonaldTrump Maybe uttered word policy propagating conspiracy theories,@realDonaldTrump,
574,bWe have made the difficult decision to not shell out for Halloween this year COVID numbers in our town are,0,covid19,bWe difficult decision shell Halloween year COVID numbers town,,#COVID
575,bGreat hearing AFTPA PFTLocal3 AFTunion teacher Ben Hover at BidenHarris2020 rally right  WE,1,,bGreat hearing AFTPA PFTLocal3 AFTunion teacher Ben Hover BidenHarris2020 rally WE,@AFTPA @PFTLocal3 @AFTunion,#BidenHarris2020
576,bjoncoopertweets He has no feelings he fakes feelings and empathy So he be crying He hopefully will,0,crime,bjoncoopertweets He feelings fakes feelings empathy So crying He hopefully will,@joncoopertweets,
577,bProjectLincoln Your lips to Gods ears Also to every single person who hasnt voted yet Here in Travis,1,,bProjectLincoln Your lips Gods ears Also single person hasnt voted Here Travis,@ProjectLincoln,
578,brealdonaldtrump is a LOSER Trump has been a LOSER and a FRAUD his entire life NOTHING Trump has ever done has,0,crime,brealdonaldtrump LOSER Trump LOSER FRAUD entire life NOTHING Trump,@realdonaldtrump,
579,bSoftly realDonaldTrump will be just a one term impeached abomination in our history books that will be best,1,,bSoftly realDonaldTrump will term impeached abomination history books will best,@realDonaldTrump,
580,bAccording to kaitlancollins Trump isnt speaking at the actual venue Hes mad that the state limited his,0,discrimination,bAccording kaitlancollins Trump isnt speaking actual venue Hes mad state limited,@kaitlancollins,#Trump
581,bRT mousears7 Anyone whos had COVID19 or had a loved one die should flood DonJr n the SuperSpreaderInChief with pics n stories,1,,bRT mousears7 Anyone COVID19 loved die flood DonJr SuperSpreaderInChief pics stories,@mousears7,#COVID19 #DonJr #SuperSpreaderInChief
582,bThe Full Story of Trump and COVID19  NowThis  via YouTube BidenHarris2020 FoxNews DonaldTrump,1,,bThe Full Story Trump COVID19 NowThis YouTube BidenHarris2020 FoxNews DonaldTrump,@YouTube,#BidenHarris2020 #FoxNews #DonaldTrump
583,bLaura Trump wearing a mask to be politically correct She was maximizing the odds she was going to see,1,,bLaura Trump wearing mask politically correct She maximizing odds going,,
584,bRT JaniceClaire14 Are you ready for this MAGA Can you retire  survive without both Social Security Income  Medicare VoteBlue if,1,,bRT JaniceClaire14 Are ready MAGA Can retire survive Social Security Income Medicare VoteBlue,@JaniceClaire14,#MAGA #VoteBlue
585,bTrump vowed to America First and came  1 Were  Covid cases And when we try to fall out,1,,bTrump vowed America First 1 Were Covid cases And fall,,#1 #1
586,bRT RandyOdom My 2020 Electoral College predictions after reviewing tons of data polls issues demographics etc For disclosure,1,,bRT RandyOdom My 2020 Electoral College predictions reviewing tons data polls issues demographics For disclosure,@RandyOdom,
587,accelerating  rising when all Americans killed by TrumpVirus are,0,discrimination,accelerating rising Americans killed TrumpVirus,,#Americans #TrumpVirus
588,bmattgaetz 230000 dead from covid no covid relief bill youre not even working and my tax dollars are paying,0,corruption,bmattgaetz 230000 dead covid covid relief bill working tax dollars paying,@mattgaetz,#covid
589,bHow should vote nnIn a new commentary up at TexasScorecard lukemaciastx notes that we must,1,,bHow vote nnIn commentary TexasScorecard lukemaciastx notes,@lukemaciastx,
590,bRT IshRasool Lets try guarantee that Have friends time to volunteer and make calls for BidenHarris2020 campaign in swing states,1,,bRT IshRasool Lets guarantee Have friends time volunteer calls BidenHarris2020 campaign swing states,@IshRasool,#BidenHarris2020
591,bsenatemajldr hughhewitt LOLOL As if you sliding into 80 knows what ICYMI means Soooo obviously not MoscowMitch tweeting this,1,,bsenatemajldr hughhewitt LOLOL As sliding 80 ICYMI Soooo MoscowMitch tweeting,@senatemajldr @hughhewitt,#MoscowMitch
592,bEnd of the second lockdown and teen and adult suicide rates will be higher than ever but reyt least your,0,crime,bEnd second lockdown teen adult suicide rates will higher reyt,,
593,bRT EpochTimes would gain increased influence and better representation for its people in the  Senate by electing John,1,,bRT EpochTimes gain increased influence better representation people Senate electing John,@EpochTimes,
594,byourauntemma Trump COULD NOT DO THIS ALONEnHe being enabled by RupertAndTheEvangelicalsnnRupertMurdoch,1,,byourauntemma Trump COULD NOT DO THIS ALONEnHe enabled RupertAndTheEvangelicalsnnRupertMurdoch,@yourauntemma,#Trump #RupertAndTheEvangelicals #RupertMurdoch
595,bTrump Baslessly Accuses Doctors Of Overreporting Covid Deaths For Financial Gain via,1,,bTrump Baslessly Accuses Doctors Of Overreporting Covid Deaths For Financial Gain,,
596,bDanJack49518646 nypost not that One Story Hunter Biden the Criminal and his old man JoeBiden,0,others,bDanJack49518646 nypost One Story Hunter Biden Criminal man JoeBiden,@DanJack49518646 @nypost,#JoeBiden
597,bRT KristenClarkeJD HOURS before early voting closes in Georgia and already the number of votes cast has reached  of the total,1,,bRT KristenClarkeJD HOURS early voting closes Georgia number votes cast reached total,@KristenClarkeJD,
598,Attn Ohio friends track your ballots herenn Election2020 EarlyVoting,1,,Attn Ohio friends track ballots herenn Election2020 EarlyVoting,,#Vote2020 #Election2020 #EarlyVoting
599,brealDonaldTrump I look at recent tweets and he seem freaked out or desperate as you Trumpy,0,covid19,brealDonaldTrump I tweets freaked desperate Trumpy,@realDonaldTrump,
600,bAnthonyLee59 n_hoodie BeRationalThink RationalRest RealJamesWoods Trump said hes doing a great job,1,,bAnthonyLee59 n_hoodie BeRationalThink RationalRest RealJamesWoods Trump great job,@AnthonyLee59 @n_hoodie @BeRationalThink @RationalRest @RealJamesWoods,#Trump
601,bRT Deb10122 Beware of any candy your kids may get this year if they insist on going trick or treating Stay home  watch a great,1,,bRT Deb10122 Beware candy kids year insist going trick treating Stay watch great,@Deb10122,
602,b78 COVID deaths reported by the TNDeptofHealth is a oneday record And no sign of,1,,b78 COVID deaths reported TNDeptofHealth oneday record And sign,@TNDeptofHealth,#COVID
603,b vide is just so powerful onlytheyoung TaylorSwift BidenHarris2020,1,,vide powerful onlytheyoung TaylorSwift BidenHarris2020,,#onlytheyoung #TaylorSwift #BidenHarris2020
604,bLate numbers out of Crooch Virgina frankly scared the shit out of me I always pore over data with,0,corruption,bLate numbers Crooch Virgina frankly scared shit I pore data,,
605,up with this backlog GovRonDeSantis  florida Elections2020 MailInBallot,1,,backlog GovRonDeSantis florida Elections2020 MailInBallot,@GovRonDeSantis,#florida #Elections2020 #MailInBallot
606,bWhat will the continent of Africa look like after COVID19 EmilyCEstelle explains how the pandemic could,1,,bWhat will continent Africa COVID19 EmilyCEstelle explains pandemic,@EmilyCEstelle,#Africa #COVID
607,bIf youre wondering what difference nonviolent mass movements make or need some resources on how to participate,1,,bIf wondering difference nonviolent mass movements resources participate,,
608,bTrumps closing argument for Wisconsin Doctors are profiting off of fake Covid casesnnWHO TF IS VOTING FOR,0,covid19,bTrumps closing argument Wisconsin Doctors profiting fake Covid casesnnWHO TF IS VOTING FOR,,#Trumps #Wisconsin #Covid
609,bRT StatesPoll 2020 Electoral College Forecast Map nDonald Trump vs Joe BidennOctober 30 2020  Analysis Post,1,,bRT StatesPoll 2020 Electoral College Forecast Map nDonald Trump Joe BidennOctober 30 2020 Analysis Post,@StatesPoll,
610,bTHIS FUCKING WINS EAT SHIT TrumpCrimeFamily,0,corruption,bTHIS FUCKING WINS EAT SHIT TrumpCrimeFamily,,#TrumpCrimeFamily
611,bNigel_Farage Send realDonaldTrump my best wishes Nigel Trump2020Landslide trumpforpresident,1,,bNigel_Farage Send realDonaldTrump best wishes Nigel Trump2020Landslide trumpforpresident,@Nigel_Farage @realDonaldTrump,#Trump2020Landslide #trumpforpresident
612,bFrom NBCNews Trump urges his supporters to watch the polls How states are countering fears of voter,1,,bFrom NBCNews Trump urges supporters watch polls How states countering fears voter,@NBCNews,
613,bJoeBiden says he beat the socialist but all the radical leftists including THE SOCIALIST Bernie will be,1,,bJoeBiden beat socialist radical leftists including THE SOCIALIST Bernie will,@JoeBiden,
614,bCNNPolitics lies to the nation Illicit enrichment Joe Biden,0,corruption,bCNNPolitics lies nation Illicit enrichment Joe Biden,@CNNPolitics,
615,bTonyBobulinski spoke 2 FBI 4 hours 2  runs from Press 2avoid questions the media covers 4him,1,,bTonyBobulinski spoke 2 FBI 4 hours 2 runs Press 2avoid questions media covers 4him,,#TonyBobulinski #FBI #JoeBiden
616,bRT JohnFugelsang Donald Trump lied to the American people that he would release his tax returns in 2011 2014 2015  2016 nnNow he,0,corruption,bRT JohnFugelsang Donald Trump lied American people release tax returns 2011 2014 2015 2016 nnNow,@JohnFugelsang,
617,bI voted in person to KAG todaynnI also voted to save Colorado from the Democratic Disaster sweeping the,0,covid19,bI voted person KAG todaynnI voted save Colorado Democratic Disaster sweeping,,#KAG
618,bRT raveenaujmaya Massive antilockdown protests erupted Barcelona Spain as violent riots escalated Coronavirus,0,others,bRT raveenaujmaya Massive antilockdown protests erupted Barcelona Spain violent riots escalated Coronavirus,@raveenaujmaya,#Barcelona #Spain #Coronavirus
619,bRT davidrollman So entertaining listening to the JoeBiden bullshit ElectionDay realDonaldTrump  keep going to,0,corruption,bRT davidrollman So entertaining listening JoeBiden bullshit ElectionDay realDonaldTrump going,@davidrollman @JoeBiden @realDonaldTrump,#ElectionDay
620,bRT dreamin8bit please vote for your favesnBidenHarris2020,1,,bRT dreamin8bit vote favesnBidenHarris2020,@dreamin8bit,#BidenHarris2020
621,bPeteButtigieg No  Nixon and  goes both  neljeffro75,0,covid19,bPeteButtigieg No Nixon neljeffro75,@PeteButtigieg @eljeffro75,#BidenHarris2020
622,bFridayvibes COVID math physics I wonder who she wanted to vote for,1,,bFridayvibes COVID math physics I wonder wanted vote,,#Fridayvibes #COVID #math #physics
623,bRT RKOTOfficial All these IranianAmericans boosting their support for Biden are bunch hypocrites who once in a while talking wanting,1,,bRT RKOTOfficial All IranianAmericans boosting support Biden bunch hypocrites talking wanting,@RKOTOfficial,#Biden
624,bRT zunderwhelmed TheRealHoarse They raised A LOT of money for that event need to startkeep following where ALL of this,1,,bRT zunderwhelmed TheRealHoarse They raised A LOT money event startkeep ALL,@zunderwhelmed @TheRealHoarse,
625,bRT Kat_Cammack Clay County is Kat and realDonaldTrump country nn4 days to go bring it home Florida MAGA nnTeamTrump,1,,bRT Kat_Cammack Clay County Kat realDonaldTrump country nn4 days bring Florida MAGA nnTeamTrump,@Kat_Cammack @realDonaldTrump @TeamTrump,#MAGA
626,bAlthough Donald Trump gives the left a hard time I dont ever remember him insulting the actual voters with name,0,covid19,bAlthough Donald Trump left hard time I dont remember insulting actual voters,,
627,bFive Great Things Biden Has Already learning not to underestimate the guy via,1,,bFive Great Things Biden Has Already learning underestimate guy,,
628,accelerating  rising when all Americans killed by TrumpVirus are,0,discrimination,accelerating rising Americans killed TrumpVirus,,#Americans #TrumpVirus
629,bI heard SpeakerPelosi say agonize we today while speaking in an interview and that really,0,covid19,bI heard SpeakerPelosi agonize today speaking interview,@SpeakerPelosi,
630,bSurgeon_General You sucked up to a sycophant for many  have to live with that and the lives it,0,covid19,bSurgeon_General You sucked sycophant live lives,@Surgeon_General,#BidenHarris2020
631,bBiden Harris votenIs a vote for the bright lightnI see in your eyesnnpoliticalalchemy haiku,1,,bBiden Harris votenIs vote bright lightnI eyesnnpoliticalalchemy haiku,,#politicalalchemy #haiku
632,bmercedesschlapp JoeBiden So stop watching it We embarrassing America by shouting lock her up to a,0,corruption,bmercedesschlapp JoeBiden So watching We embarrassing America shouting lock,@mercedesschlapp @JoeBiden,
633,bHow fabulous is this BidenHarris2020 BidenHarrisToSaveAmerica BidenHarrisLandslide2020 NathanWyburnArt,1,,bHow fabulous BidenHarris2020 BidenHarrisToSaveAmerica BidenHarrisLandslide2020 NathanWyburnArt,@NathanWyburnArt,#BidenHarris2020 #BidenHarrisToSaveAmerica #BidenHarrisLandslide2020
634,bmercedesschlapp JoeBiden Look lady I dont come to where you work and schlapp  BidenHarris2020,1,,bmercedesschlapp JoeBiden Look lady I dont work schlapp BidenHarris2020,@mercedesschlapp @JoeBiden,#BidenHarris2020
635,bRT OliviaTroye I always get excited when I vote  today the right to vote meant even more As a lifelong Republicanfor the 1st time,1,,bRT OliviaTroye I excited I vote today vote meant As lifelong Republicanfor 1st time,@OliviaTroye,#Republican
636,bIran Venezuela want to do us harm JoeBiden is in no way shape or form to confront them at all,0,corruption,bIran Venezuela harm JoeBiden shape form confront,,#Iran #Venezuela #JoeBiden
637,KAG MAGA,1,,KAG MAGA,,#KAG #MAGA
638,bEw ImMatthew_Davis is a freaking trump supporter Oop yeah no just no Yeah I knew alaric stayed dead,0,covid19,bEw ImMatthew_Davis freaking trump supporter Oop yeah Yeah I knew alaric stayed dead,@ImMatthew_Davis,
639,bRT IndySpanglish Election2020 nnOn Nov 3rd Americans will make the decision between socialism and our Democratic Republic nnWe will,1,,bRT IndySpanglish Election2020 nnOn Nov 3rd Americans will decision socialism Democratic Republic nnWe will,@IndySpanglish,#Election2020
640,bThe city council and mayor of this town prove why down ballot voting is important VoteTrump2020  all GOP,1,,bThe city council mayor town prove ballot voting VoteTrump2020 GOP,,#VoteTrump2020 #GOP
641,bRT DemsForUSA Failed Our Nurses Paramedics  Healthcare still has no nationally coordinated response to,0,discrimination,bRT DemsForUSA Failed Our Nurses Paramedics Healthcare nationally coordinated response,@DemsForUSA,
642,bdevisridhar georgeeaton NewStatesman Please explain why we are all wearing face masks and why they are being,1,,bdevisridhar georgeeaton NewStatesman Please explain wearing face masks,@devisridhar @georgeeaton @NewStatesman,
643,bGet the truth out there about the Biden family business BidenCrimeFamiIy VOTE Trump2020 BidenHarris2020,1,,bGet truth Biden family business BidenCrimeFamiIy VOTE Trump2020 BidenHarris2020,,#BidenCrimeFamiIy #VOTE #Trump2020 #BidenHarris2020
644,bRT nlfisker Dems4USA 300 bipartisan bills passed the House  sit in MoscowMitch graveyard including the HeroesAct that would bring,0,crime,bRT nlfisker Dems4USA 300 bipartisan bills passed House sit MoscowMitch graveyard including HeroesAct bring,@nlfisker,#Dems4USA #MoscowMitch #HeroesAct
645,bFakeNewsMedia wont report this msnbc cnnpolitics maddow maddowblog maddow theroot motherjones,1,,bFakeNewsMedia report msnbc cnnpolitics maddow maddowblog maddow theroot motherjones,@msnbc @cnnpolitics @maddow @maddowblog @theroot @motherjones,#FakeNewsMedia #maddow
646,bRT RWTrollPatrol GOP realDonaldTrump Trumps not a politician hes an organized crime boss Google search Donald Trumps Ties to,0,discrimination,bRT RWTrollPatrol GOP realDonaldTrump Trumps politician organized crime boss Google search Donald Trumps Ties,@RWTrollPatrol @GOP @realDonaldTrump,
647,bDonaldJTrumpJr You can just name it TRUMPnBidenHarris2020 TrumpVirus,1,,bDonaldJTrumpJr You TRUMPnBidenHarris2020 TrumpVirus,@DonaldJTrumpJr,#BidenHarris2020 #TrumpVirus
648,bRT howardfineman If Trump loses but refuses to concede or cooperate would MitchMcConnell step in as BarryGoldwater did nearly a,0,corruption,bRT howardfineman If Trump loses refuses concede cooperate MitchMcConnell step BarryGoldwater,@howardfineman,#Trump #MitchMcConnell #BarryGoldwater
649,bMSNBC This is another reason to VoteHimOut evil We need to protect our doctors  nurses from this,1,,bMSNBC This reason VoteHimOut evil We protect doctors nurses,@MSNBC,#VoteHimOut
650,bIlhan retweeted the mention saying freaking rally seriously this is getting old  reeks of,0,corruption,bIlhan retweeted mention freaking rally seriously reeks,,#retweeted
651,bRT VABedfordHCS Have a safe and healthy Halloween Wear a multilayer mask wash your hands and stay six feet apart from people,1,,bRT VABedfordHCS Have safe healthy Halloween Wear multilayer mask wash hands stay feet apart people,@VABedfordHCS,
652,bRT BrexitBrit Boris will announce a national coronaviruslockdownnnMore than 70 of people are now more worried about the effect of,0,covid19,bRT BrexitBrit Boris will national coronaviruslockdownnnMore 70 people worried,@BrexitBrit,#coronaviruslockdown
653,bRT RL9631 Volunteer to be a Election Poll Watcher KAG nnMAGA,1,,bRT RL9631 Volunteer Election Poll Watcher KAG nnMAGA,@RL9631,#MAGA
654,bTMarinoWDBO TTerryWFTV WDBOtraffic Almost Election Day and still no word whether JoeBiden will pack SCOTUS TellUsJoe tell us,1,,bTMarinoWDBO TTerryWFTV WDBOtraffic Almost Election Day word JoeBiden will pack SCOTUS TellUsJoe,@TMarinoWDBO @TTerryWFTV @WDBOtraffic,#JoeBiden #SCOTUS #TellUsJoe
655,bRT CPRAction Weve heard some disturbing accounts of NYPD actions related to Election2020 so were asking you to email us information,0,corruption,bRT CPRAction Weve heard disturbing accounts NYPD actions Election2020 email,@CPRAction,#Election2020
656,accelerating  rising when all Americans killed by TrumpVirus are,0,discrimination,accelerating rising Americans killed TrumpVirus,,#Americans #TrumpVirus
657,bRT giveawa04254804 Get 500 to Spend at Bath  Body WorksnHalloween nVOTE nBidenHarris2020 nTrump2020 nTheMandalorian nBath,1,,bRT giveawa04254804 Get 500 Spend Bath Body WorksnHalloween nVOTE nBidenHarris2020 nTrump2020 nTheMandalorian nBath,@giveawa04254804,#Halloween #VOTE #BidenHarris2020 #Trump2020 #TheMandalorian
658,bRT liarpoliticians BreesAnna We are conspiracy FACTS not theorists There are globalist criminals like Boris pushing hard for the New,0,crime,bRT liarpoliticians BreesAnna We conspiracy FACTS theorists There globalist criminals Boris pushing hard New,@liarpoliticians @BreesAnna,
659,bOh my goodness Ive been saying we would hit 100k COVID19 cases a day soon but today was a HUGE jump toward,1,,bOh goodness Ive hit 100k COVID19 cases day today HUGE jump,,
660,bRT jjgabay The BodyLanguage of Trump and Biden thoughtandleaders global podcast  out just in time for your vote Subscribe today,1,,bRT jjgabay The BodyLanguage Trump Biden thoughtandleaders global podcast time vote Subscribe today,@jjgabay,#BodyLanguage #Trump #Biden #thoughtandleaders
661,bIts Make America Great AgainnnNot Honk if you want America to  again Senile old  MAGA,1,,bIts Make America Great AgainnnNot Honk America Senile MAGA,,#JoeBiden #MAGA
662,bImmunity fears as man 25 catches Covid twice ending up in hospital second time Mirror coronavirus,0,covid19,bImmunity fears man 25 catches Covid hospital second time Mirror coronavirus,,#coronavirus
663,bRightWingWatch HE IS RIGHT We are fighting the devil himself and his name is donald  BIDENHARRIS2020,0,crime,bRightWingWatch HE IS RIGHT We fighting devil donald BIDENHARRIS2020,@RightWingWatch,#BIDENHARRIS2020
664,bBipolarClubRx We are friends I want him in a hospital because he has severe COPD  COVID rates are,0,covid19,bBipolarClubRx We friends I hospital severe COPD COVID rates,@BipolarClubRx,#COVID
665,bRT TheRainbowist Biden pledges support to LGBTQ community,1,,bRT TheRainbowist Biden pledges support LGBTQ community,@TheRainbowist,#Biden #LGBTQ
666,bRT KaJo503 BaddCompani The young uns are the crest of the,1,,bRT KaJo503 BaddCompani The young uns crest,@KaJo503 @BaddCompani,#BlueWave
667,bSecPompeo POTUS you just lost the Armenian vote BidenHarris2020,0,discrimination,bSecPompeo POTUS lost Armenian vote BidenHarris2020,@SecPompeo @POTUS,#BidenHarris2020
668,bDonald Trump Jr said covid19 deaths are at The coronavirus killed more than 1000 Americans,0,discrimination,bDonald Trump Jr covid19 deaths The coronavirus killed 1000 Americans,,#coronavirus
669,bJust wow hes speaking nothing but  much watch video if u are voting Hopefully this will educate people,1,,bJust wow speaking watch video voting Hopefully will educate people,,
670,bWow Trump just said Doctors responsible for high numbers of Covid deaths as they get paid more if they record death as Covid,0,discrimination,bWow Trump Doctors responsible high numbers Covid deaths paid record death Covid,,#Trump #Doctors #Covid
671,bGOP DNC RepsForBiden ProjectLincoln AntichristTrumpguilty of voluntary manslaughterOf dereliction of duty,1,,bGOP DNC RepsForBiden ProjectLincoln AntichristTrumpguilty voluntary manslaughterOf dereliction duty,@GOP @DNC @RepsForBiden @ProjectLincoln,
672,bMinnesota Wisconsin Pennsylvania put your faith in realDonaldTrump for security in your lives and to get,1,,bMinnesota Wisconsin Pennsylvania faith realDonaldTrump security lives,@realDonaldTrump,#Minnesota #Wisconsin #Pennsylvania
673,easier to make the sad walk upstairs to the bedroom as the results pour  BidenHarris2020,0,covid19,easier sad walk upstairs bedroom pour BidenHarris2020,,#BidenHarris2020
674,bBruce_LeVell realDonaldTrump Or did that stop Jared Kushner from receiving 500m from Chinese and Saudi,1,,bBruce_LeVell realDonaldTrump Or Jared Kushner receiving 500m Chinese Saudi,@Bruce_LeVell @realDonaldTrump,
675,b4 days left people VOTE VOTE VOTE VoteBlueDownBallot BidenHarris2020 TrumpCollapse,1,,b4 days left people VOTE VOTE VOTE VoteBlueDownBallot BidenHarris2020 TrumpCollapse,,#VoteBlueDownBallot #BidenHarris2020 #TrumpCollapse
676,bIn this Election Trump predictably threw aside any remnants of decency and decorum and fired up,0,crime,bIn Election Trump predictably threw remnants decency decorum fired,,#Election #Trump #decency #decorum
677,bRT MeidasCeejay FreeNestor1 DonaldJTrumpJr TrumpCrimeFamily for prison 2021,0,discrimination,bRT MeidasCeejay FreeNestor1 DonaldJTrumpJr TrumpCrimeFamily prison 2021,@MeidasCeejay @FreeNestor1 @DonaldJTrumpJr,#TrumpCrimeFamily
678,bJackDorsey lost lol HunterBidenEmails Hunterbidenlaptop HunterBiden HunterBidenPEDO,1,,bJackDorsey lost lol HunterBidenEmails Hunterbidenlaptop HunterBiden HunterBidenPEDO,,#JackDorsey #lol #HunterBidenEmails #Hunterbidenlaptop #HunterBiden #HunterBidenPEDO
679,bRT ACPCarnegie Watching BBCNewsnight makes me so cross  ok testing is important but ultra clean ventilation allows folk in same room,1,,bRT ACPCarnegie Watching BBCNewsnight cross testing ultra clean ventilation allows folk room,@ACPCarnegie @BBCNewsnight,
680,bRT shotwithspirit Horrific GOP corruption  treason is coming to light Great work aaronharris GOPBetrayedAmerica,0,others,bRT shotwithspirit Horrific GOP corruption treason coming light Great work aaronharris GOPBetrayedAmerica,@shotwithspirit @aaronharris,#GOP #corruption #treason #GOPBetrayedAmerica
681,bSenior officials on campaign are increasingly worried about insufficient Black and Latino voter,0,corruption,bSenior officials campaign increasingly worried insufficient Black Latino voter,,
682,bThis is who you are These are your values Trump2020 nnAZpol utpol idpol Georgia2020 Florida2020,1,,bThis These values Trump2020 nnAZpol utpol idpol Georgia2020 Florida2020,,#Trump2020 #AZpol #utpol #idpol #Georgia2020 #Florida2020
683,bI feel like everyone needs to hear this going into next week nnYour preferred candidate fucking sucks nnLeSSeR,1,,bI feel hear going week nnYour preferred candidate fucking sucks nnLeSSeR,,
684,bProjectLincoln Feeling sick that this SOB has it rigged in his favor again I take another 4 years of this,0,others,bProjectLincoln Feeling sick SOB rigged favor I 4 years,@ProjectLincoln,
685,bThey will BOTH be in prison TrumpCrimeFamily LockThemAllUp,0,covid19,bThey will BOTH prison TrumpCrimeFamily LockThemAllUp,,#TrumpCrimeFamily #LockThemAllUp
686,bRT Cartoon4sale David Rowe on USElections2020 COVID19 Biden Trump USA Satire cartoon  political cartoon,1,,bRT Cartoon4sale David Rowe USElections2020 COVID19 Biden Trump USA Satire cartoon political cartoon,@Cartoon4sale,#USElections2020 #COVID19 #Biden #Trump #USA #Satire #cartoon
687,bThis is GREAT NEWS PEOPLE nnHospitals and doctors are getting better at treating covid patients and saving,1,,bThis GREAT NEWS PEOPLE nnHospitals doctors better treating covid patients saving,,#covid
688,bRT Marvelfan45 4 days away this is truly the fight of our lives just like Cap said in Endgame and we are gonna win,0,covid19,bRT Marvelfan45 4 days fight lives Cap Endgame gon win,@Marvelfan45,
689,bSo Happy nMy Son and his girlfriend voted today for there 1st time  nThey voted ALL BLUEnBidenHarris2020,1,,bSo Happy nMy Son girlfriend voted today 1st time nThey voted ALL BLUEnBidenHarris2020,,#BidenHarris2020
690,bTrump2020Landslide KamalaHarris bailing out rioters American Citizens MAGA2020LandslideVictory,1,,bTrump2020Landslide KamalaHarris bailing rioters American Citizens MAGA2020LandslideVictory,,#Trump2020Landslide #KamalaHarris #American #MAGA2020LandslideVictory
691,bComforting nostalgic manufactured heritagenRetirement Disneyland FloridanNewsnight Trump,1,,bComforting nostalgic manufactured heritagenRetirement Disneyland FloridanNewsnight Trump,,#Newsnight #Trump
692,bBrettFavre realDonaldTrump If your vote is for all of the things you list youre voting for the wrong candidate BidenHarris2020,0,corruption,bBrettFavre realDonaldTrump If vote things list voting wrong candidate BidenHarris2020,@BrettFavre @realDonaldTrump,#BidenHarris2020
693,bRT Steven24309452 TrumpWarRoom If Trump doesnt do something quick to help the hurting Americans then he will loose the election,0,covid19,bRT Steven24309452 TrumpWarRoom If Trump doesnt quick help hurting Americans will loose election,@Steven24309452 @TrumpWarRoom,
694,bHaving more than 5 coronavirus symptoms may predict long COVID case  Business Insider,1,,bHaving 5 coronavirus symptoms predict long COVID case Business Insider,,#COVID
695,bJust finished watching the absolute horror show that is TheTrumpShow on the BBCnnWhatever the outcome next,0,others,bJust finished watching absolute horror TheTrumpShow BBCnnWhatever outcome,@BBC,#TheTrumpShow
